time_s,n_samples,mean_cost,std_cost,q05_cost,q25_cost,median_cost,q75_cost,q95_cost
2.644,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.646,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.648,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.65,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.652,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.654,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.656,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.658,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.66,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.662,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.664,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.666,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.668,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.67,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.672,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.674,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.676,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.678,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.68,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.682,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.684,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.686,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.688,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.69,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.692,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.694,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.696,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.698,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.7,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.702,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.704,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.706,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.708,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.71,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.712,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.714,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.716,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.718,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.72,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.722,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.724,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.726,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.728,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.73,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.732,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.734,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.736,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.738,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.74,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.742,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.744,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.746,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.748,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.75,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.7520000000000002,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.754,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.7560000000000002,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.758,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.7600000000000002,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.762,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.7640000000000002,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.766,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.7680000000000002,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.77,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.7720000000000002,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.774,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.7760000000000002,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.778,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.7800000000000002,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.782,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.7840000000000003,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.786,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.7880000000000003,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.79,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.7920000000000003,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.794,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.7960000000000003,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.798,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.8000000000000003,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.802,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.8040000000000003,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.806,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.8080000000000003,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.81,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.8120000000000003,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.814,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.816,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.818,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
2.82,200,0.35012197835851083,0.3225194993051795,0.0,0.14833593401149714,0.2718092821050522,0.46630098976596407,0.97630909807025
